runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.003213,3,7,1026,3094,413,413,405,413,0,3,3,0,0,0,0,0,0,3,1,0,7,0,2.66667,-1.33333,0.002041,7e-06,2.4e-05,0,0,0,0.000106,1e-06,3.7e-05,0.000491,0.000511,0.002264,WDG with AStar,random-32-32-20-random-1.scen
0.003226,3,7,1026,3094,413,413,405,413,0,3,3,0,0,0,0,0,0,3,1,0,7,0,2.66667,-1.33333,0.002061,7e-06,2.3e-05,0,0,0,0.000106,2e-06,3.7e-05,0.000471,0.000489,0.002243,WDG with AStar,random-32-32-20-random-1.scen
